date,visiting,home,visScore,homeScore,visHR,homeHR
20100404,NYA,BOS,7,9,2,1
20100405,MIN,ANA,3,6,1,3
20100405,CLE,CHA,0,6,0,2
20100405,DET,KCA,8,4,0,1
20100405,SEA,OAK,5,3,1,0
20100405,TOR,TEX,4,5,2,1
20100405,SDN,ARI,3,6,2,2
20100405,CHN,ATL,5,16,2,2
20100405,SLN,CIN,11,6,4,2
20100405,SFN,HOU,5,2,1,0
20100405,COL,MIL,5,3,1,1
20100405,FLO,NYN,1,7,0,1
20100405,LAN,PIT,5,11,0,3
20100405,PHI,WAS,11,1,2,0
20100406,MIN,ANA,5,3,3,1
20100406,NYA,BOS,6,4,1,1
20100406,SEA,OAK,1,2,0,1
20100406,BAL,TBA,3,4,3,1
20100406,SDN,ARI,6,3,2,0
20100406,SFN,HOU,3,0,0,0
20100406,COL,MIL,5,7,1,2
20100407,MIN,ANA,4,2,2,0
20100407,NYA,BOS,3,1,1,0
20100407,CLE,CHA,5,3,0,1
20100407,DET,KCA,2,3,1,1
20100407,SEA,OAK,5,6,1,1
20100407,BAL,TBA,3,4,0,1
20100407,TOR,TEX,7,4,3,2
20100407,SDN,ARI,3,5,1,4
20100407,CHN,ATL,2,3,0,1
20100407,SLN,CIN,6,3,0,1
20100407,SFN,HOU,10,4,2,0
20100407,COL,MIL,4,5,1,0
20100407,FLO,NYN,7,6,3,0
20100407,LAN,PIT,3,4,1,1
20100407,PHI,WAS,8,4,1,1
20100408,MIN,ANA,10,1,3,0
20100408,CLE,CHA,5,3,0,1
20100408,DET,KCA,7,3,2,0
20100408,SEA,OAK,2,6,0,0
20100408,BAL,TBA,5,4,1,0
20100408,TOR,TEX,3,1,1,0
20100408,CHN,ATL,2,0,2,0
20100408,SLN,CIN,1,2,1,1
20100408,FLO,NYN,3,1,0,0
20100408,LAN,PIT,10,2,1,0
20100408,PHI,WAS,5,6,0,1
20100409,OAK,ANA,10,4,1,2
20100409,TOR,BAL,7,6,1,1
20100409,MIN,CHA,4,3,0,0
20100409,CLE,DET,2,5,1,0
20100409,BOS,KCA,3,4,1,2
20100409,NYA,TBA,3,9,0,2
20100409,SEA,TEX,2,6,1,1
20100409,PIT,ARI,1,9,0,1
20100409,CHN,CIN,4,5,1,1
20100409,SDN,COL,0,7,0,1
20100409,LAN,FLO,7,3,0,0
20100409,PHI,HOU,8,0,1,0
20100409,SLN,MIL,5,4,2,0
20100409,WAS,NYN,2,8,0,4
20100409,ATL,SFN,4,5,0,1
20100410,OAK,ANA,3,4,1,0
20100410,TOR,BAL,3,0,0,0
20100410,MIN,CHA,2,1,1,0
20100410,CLE,DET,2,4,0,1
20100410,BOS,KCA,8,3,5,0
20100410,NYA,TBA,10,0,1,0
20100410,SEA,TEX,4,3,0,1
20100410,PIT,ARI,6,3,2,1
20100410,CHN,CIN,4,3,3,1
20100410,SDN,COL,5,4,0,3
20100410,LAN,FLO,6,7,1,1
20100410,PHI,HOU,9,6,2,2
20100410,SLN,MIL,7,1,2,0
20100410,WAS,NYN,4,3,0,0
20100410,ATL,SFN,7,2,1,0
20100411,OAK,ANA,9,4,1,2
20100411,TOR,BAL,5,2,4,0
20100411,MIN,CHA,4,5,0,3
20100411,CLE,DET,8,9,3,0
20100411,BOS,KCA,8,6,1,2
20100411,NYA,TBA,7,3,2,0
20100411,SEA,TEX,2,9,0,1
20100411,PIT,ARI,6,15,2,4
20100411,CHN,CIN,1,3,0,0
20100411,SDN,COL,2,4,0,1
20100411,LAN,FLO,5,6,0,1
20100411,PHI,HOU,2,1,1,0
20100411,SLN,MIL,7,8,3,4
20100411,WAS,NYN,5,2,1,1
20100411,ATL,SFN,3,6,2,1
20100412,TBA,BAL,5,1,2,1
20100412,TEX,CLE,4,2,1,1
20100412,KCA,DET,10,5,1,1
20100412,BOS,MIN,2,5,0,1
20100412,OAK,SEA,4,0,1,0
20100412,CHA,TOR,8,7,3,2
20100412,MIL,CHN,5,9,1,3
20100412,CIN,FLO,6,5,3,0
20100412,WAS,PHI,4,7,1,1
20100412,ATL,SDN,2,17,0,2
20100412,PIT,SFN,3,9,0,1
20100412,HOU,SLN,0,5,0,1
20100413,TBA,BAL,8,6,1,3
20100413,KCA,DET,5,6,2,0
20100413,ANA,NYA,5,7,2,2
20100413,OAK,SEA,0,3,0,1
20100413,CHA,TOR,2,4,1,0
20100413,NYN,COL,3,11,1,1
20100413,CIN,FLO,10,8,2,1
20100413,ARI,LAN,5,9,1,4
20100413,PIT,SFN,6,5,2,1
20100414,TBA,BAL,9,1,3,1
20100414,TEX,CLE,6,2,1,0
20100414,KCA,DET,7,3,1,1
20100414,BOS,MIN,6,3,1,1
20100414,ANA,NYA,5,3,0,0
20100414,OAK,SEA,2,4,1,0
20100414,CHA,TOR,11,1,2,0
20100414,MIL,CHN,6,7,0,1
20100414,NYN,COL,5,6,2,2
20100414,CIN,FLO,3,5,1,2
20100414,ARI,LAN,9,7,2,1
20100414,WAS,PHI,7,14,0,3
20100414,ATL,SDN,6,1,1,0
20100414,PIT,SFN,0,6,0,3
20100414,HOU,SLN,1,2,0,0
20100415,TEX,CLE,2,3,1,1
20100415,BOS,MIN,0,8,0,1
20100415,ANA,NYA,2,6,1,3
20100415,BAL,OAK,2,6,0,0
20100415,CHA,TOR,3,7,2,1
20100415,MIL,CHN,8,6,2,3
20100415,NYN,COL,5,0,0,0
20100415,CIN,FLO,2,10,0,1
20100415,ARI,LAN,5,6,1,1
20100415,WAS,PHI,7,5,2,2
20100415,ATL,SDN,6,2,1,1
20100415,HOU,SLN,5,1,0,0
20100416,TBA,BOS,3,1,1,1
20100416,CHA,CLE,2,6,1,1
20100416,KCA,MIN,3,10,1,0
20100416,TEX,NYA,1,5,0,0
20100416,BAL,OAK,2,4,1,0
20100416,DET,SEA,3,11,0,0
20100416,ANA,TOR,7,5,1,3
20100416,COL,ATL,5,9,1,1
20100416,HOU,CHN,2,7,0,1
20100416,SFN,LAN,8,10,2,3
20100416,FLO,PHI,6,8,1,2
20100416,CIN,PIT,3,4,0,0
20100416,ARI,SDN,3,6,0,1
20100416,NYN,SLN,3,4,0,1
20100416,MIL,WAS,3,5,1,1
20100417,TBA,BOS,6,5,1,3
20100417,CHA,CLE,2,3,0,1
20100417,KCA,MIN,5,6,2,2
20100417,TEX,NYA,3,7,1,2
20100417,BAL,OAK,3,4,0,0
20100417,DET,SEA,2,4,1,0
20100417,ANA,TOR,6,3,2,0
20100417,COL,ATL,4,0,0,0
20100417,HOU,CHN,4,3,1,0
20100417,SFN,LAN,9,0,0,0
20100417,FLO,PHI,5,1,1,1
20100417,CIN,PIT,4,5,0,1
20100417,ARI,SDN,0,5,0,1
20100417,NYN,SLN,2,1,0,0
20100417,MIL,WAS,0,8,0,1
20100418,TBA,BOS,7,1,2,0
20100418,CHA,CLE,4,7,0,1
20100418,KCA,MIN,10,5,2,0
20100418,TEX,NYA,2,5,0,2
20100418,BAL,OAK,8,3,1,0
20100418,DET,SEA,4,2,1,1
